"team","year","sum"
"Algeria",1982,"5"
"Algeria",1986,"1"
"Algeria",2010,"0"
"Algeria",2014,"7"
"Angola",2006,"1"
"Argentina",1930,"18"
"Argentina",1934,"2"
"Argentina",1958,"5"
"Argentina",1962,"2"
"Argentina",1966,"4"
"Argentina",1974,"9"
"Argentina",1978,"15"
"Argentina",1982,"8"
"Argentina",1986,"14"
"Argentina",1990,"5"
"Argentina",1994,"8"
"Argentina",1998,"10"
"Argentina",2002,"2"
"Argentina",2006,"11"
"Argentina",2010,"10"
"Argentina",2014,"8"
"Australia",1974,"0"
"Australia",2006,"5"
"Australia",2010,"3"
"Australia",2014,"3"
"Austria",1934,"7"
"Austria",1954,"17"
"Austria",1958,"2"
"Austria",1978,"7"
"Austria",1982,"5"
"Austria",1990,"2"
"Austria",1998,"3"
"Belgium",1930,"0"
"Belgium",1934,"2"
"Belgium",1938,"1"
"Belgium",1954,"5"
"Belgium",1970,"4"
"Belgium",1982,"3"
"Belgium",1986,"12"
"Belgium",1990,"6"
"Belgium",1994,"4"
"Belgium",1998,"3"
"Belgium",2002,"6"
"Belgium",2014,"6"
"Bolivia",1930,"0"
"Bolivia",1950,"0"
"Bolivia",1994,"1"
"Bosnia-Herzegovina",2014,"4"
"Brazil",1930,"5"
"Brazil",1934,"1"
"Brazil",1938,"14"
"Brazil",1950,"22"
"Brazil",1954,"8"
"Brazil",1958,"16"
"Brazil",1962,"14"
"Brazil",1966,"4"
"Brazil",1970,"19"
"Brazil",1974,"6"
"Brazil",1978,"10"
"Brazil",1982,"15"
"Brazil",1986,"10"
"Brazil",1990,"4"
"Brazil",1994,"11"
"Brazil",1998,"14"
"Brazil",2002,"17"
"Brazil",2006,"10"
"Brazil",2010,"9"
"Brazil",2014,"11"
"Bulgaria",1962,"1"
"Bulgaria",1966,"1"
"Bulgaria",1970,"5"
"Bulgaria",1974,"2"
"Bulgaria",1986,"2"
"Bulgaria",1994,"10"
"Bulgaria",1998,"1"
"Cameroon",1982,"1"
"Cameroon",1990,"7"
"Cameroon",1994,"3"
"Cameroon",1998,"2"
"Cameroon",2002,"2"
"Cameroon",2010,"2"
"Cameroon",2014,"1"
"Canada",1986,"0"
"Chile",1930,"5"
"Chile",1950,"5"
"Chile",1962,"10"
"Chile",1966,"2"
"Chile",1974,"1"
"Chile",1982,"3"
"Chile",1998,"5"
"Chile",2010,"3"
"Chile",2014,"6"
"China",2002,"0"
"Colombia",1962,"5"
"Colombia",1990,"4"
"Colombia",1994,"4"
"Colombia",1998,"1"
"Colombia",2014,"12"
"Costa Rica",1990,"4"
"Costa Rica",2002,"5"
"Costa Rica",2006,"3"
"Costa Rica",2014,"5"
"Croatia",1998,"11"
"Croatia",2002,"2"
"Croatia",2006,"2"
"Croatia",2014,"6"
"Cuba",1938,"5"
"Czech Republic",2006,"3"
"Czechoslovakia",1934,"9"
"Czechoslovakia",1938,"5"
"Czechoslovakia",1954,"0"
"Czechoslovakia",1958,"9"
"Czechoslovakia",1962,"7"
"Czechoslovakia",1970,"2"
"Czechoslovakia",1982,"2"
"Czechoslovakia",1990,"10"
"Denmark",1986,"10"
"Denmark",1998,"9"
"Denmark",2002,"5"
"Denmark",2010,"3"
"Dutch East Indies",1938,"0"
"Ecuador",2002,"2"
"Ecuador",2006,"5"
"Ecuador",2014,"3"
"Egypt",1934,"2"
"Egypt",1990,"1"
"El Salvador",1970,"0"
"El Salvador",1982,"1"
"England",1950,"2"
"England",1954,"8"
"England",1958,"4"
"England",1962,"5"
"England",1966,"11"
"England",1970,"4"
"England",1982,"6"
"England",1986,"7"
"England",1990,"8"
"England",1998,"7"
"England",2002,"7"
"England",2006,"6"
"England",2010,"3"
"England",2014,"2"
"France",1930,"4"
"France",1934,"2"
"France",1938,"4"
"France",1954,"3"
"France",1958,"23"
"France",1966,"2"
"France",1978,"5"
"France",1982,"16"
"France",1986,"12"
"France",1998,"15"
"France",2002,"0"
"France",2006,"9"
"France",2010,"1"
"France",2014,"10"
"FRG",1954,"25"
"FRG",1958,"12"
"FRG",1962,"4"
"FRG",1966,"15"
"FRG",1970,"17"
"FRG",1974,"13"
"FRG",1978,"10"
"FRG",1982,"12"
"FRG",1986,"8"
"FRG",1990,"15"
"GDR",1974,"5"
"Germany",1934,"11"
"Germany",1938,"3"
"Germany",1994,"9"
"Germany",1998,"8"
"Germany",2002,"14"
"Germany",2006,"14"
"Germany",2010,"16"
"Germany",2014,"18"
"Ghana",2006,"4"
"Ghana",2010,"5"
"Ghana",2014,"4"
"Greece",1994,"0"
"Greece",2010,"2"
"Greece",2014,"3"
"Haiti",1974,"2"
"Honduras",1982,"2"
"Honduras",2010,"0"
"Honduras",2014,"1"
"Hungary",1934,"5"
"Hungary",1938,"15"
"Hungary",1954,"27"
"Hungary",1958,"7"
"Hungary",1962,"8"
"Hungary",1966,"8"
"Hungary",1978,"3"
"Hungary",1982,"3"
"Hungary",1986,"2"
"Iran",1978,"2"
"Iran",1998,"2"
"Iran",2006,"2"
"Iran",2014,"1"
"Iraq",1986,"1"
"Ireland",1990,"2"
"Ireland",1994,"2"
"Ireland",2002,"6"
"Israel",1970,"1"
"Italy",1934,"12"
"Italy",1938,"11"
"Italy",1950,"4"
"Italy",1954,"6"
"Italy",1962,"3"
"Italy",1966,"2"
"Italy",1970,"10"
"Italy",1974,"5"
"Italy",1978,"9"
"Italy",1982,"12"
"Italy",1986,"5"
"Italy",1990,"10"
"Italy",1994,"8"
"Italy",1998,"8"
"Italy",2002,"5"
"Italy",2006,"12"
"Italy",2010,"4"
"Italy",2014,"2"
"Ivory Coast",2006,"5"
"Ivory Coast",2010,"4"
"Ivory Coast",2014,"4"
"Jamaica",1998,"3"
"Japan",1998,"1"
"Japan",2002,"5"
"Japan",2006,"2"
"Japan",2010,"4"
"Japan",2014,"2"
"Kuwait",1982,"2"
"Mexico",1930,"4"
"Mexico",1950,"2"
"Mexico",1954,"2"
"Mexico",1958,"1"
"Mexico",1962,"3"
"Mexico",1966,"1"
